Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C28, C6, C67",0805,4,22u,
"C10, C11, C12, C13, C2, C86, C89, C9",CP_Elec_4x5.4,8,"10u, 35V",
C14,CP_Elec_8x10,1,"220uF, 35V",
"C15, C27, C33, C38, C39, C43, C46, C47, C49, C50, C53, C55, C56, C57, C59, C60, C61, C63, C64, C65, C75, C76, C77, C78",0603,24,1u,
"C16, C22, C44, C45, C69, C70, C85",0805,7,4u7,
"C17, C20",0805,2,"4u7, 25V",
"C18, C19, C83, C84",0603,4,"100n, 25V",
"C21, C23, C26, C34, C35, C36, C37, C40, C41, C42, C51, C52, C79, C80, C81",0603,15,100n,
"C29, C30",0603,2,47p,
"C31, C32",0603,2,2u2,
"C4, C82, C88, C92",1206,4,C3216X5R1H106K160AB,
"C48, C54, C58, C62",CP_Elec_8x6.2,4,EEEFK1C221P,
C66,0805,1,DNP (22u),
"C7, C91",0805,2,"10u, 25V",
"C71, C72, C73, C74",0603,4,1u ,
C87,0805,1,10u,
D1,D_SMB,1,    SMBJ24A,
"D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D4, D5, D6, D7, D8, D9",D_SOD-123,16,BAV20W,
"D2, D20, D3",0603,3,LED Blue,
D21,D_SOD-523,1,ESD5Z5.0T1G,
"D22, D23",D_SMB,2,SMBJ10CA-E3/52,
D25,D_SOD-323,1,BAT54WS-7-F,
F1,1210,1,SMD1210B020TF,
FB1,0805,1,MLZ2012N100LT000 ,
"IC1, IC2",SOIC127P600X175-8N,2,ICL7660ACBAZA,
IC3,SOP65P640X120-25N,1,AD5732AREZ,
IC4,SOT95P280X145-6N,1,REF3425TIDBVR,
IC5,SOIC127P600X175-8N,1,DNP (IS66WVS4M8BLL-104NLI-TR),
"ID1, T_-12V1, T_-5V1, T_12V1, T_24V1, T_3V3, T_5V1, T_Analog1, T_Analog2, T_Analog3, T_Analog4, T_DAC_A1, T_DAC_B1, T_GND1, T_GND2, T_GND3, T_GND4, T_GND5, T_PC1, T_PC2, T_PC3, T_PE10, T_PE7, T_PE8, T_PE9, T_RX1, T_TR_A1, T_TX1, T_VBUS1, T_V_ADJ1, T_V_MCU1, T_V_ref1",TestPoint_Pad_D1.5mm,32,TestPoint,
IN1,PinHeader_1x06_P2.54mm_Vertical,1,DNP (Conn_01x06),
J1,USB_Mini-B_AdamTech_MUSB-B5-S-VT-TSMT-1_SMD_Vertical,1,MUSB-B5-S-VT-TSMT-T/R,
J3,501331-0407,1,501331-0407,
"Q1, Q10, Q11, Q2, Q4, Q5, Q7, Q8",SOT-23-3,8,SI2300DS,
"R1, R19, R20, R29, R30, R43, R44, R57, R58",0603,9,33k,
"R10, R32, R46, R60",0603,4,10k,
"R11, R33, R47, R61",0603,4,1.5k,
"R12, R14, R16, R22, R24, R36, R50, R66",0603,8,47k,
R13,0603,1,20.5k,
"R15, R23, R37, R51",0603,4,6.2k,
"R17, R27, R41, R55",0603,4,100k,
R18,0603,1,11.5k,
R2,0603,1,4k7,
"R21, R26, R35, R4, R40, R49, R54, R9",0603,8,330R,
"R25, R3, R39, R53, R75, R76, R77, R78",0603,8,120R,
R28,0603,1,4.3k,
"R31, R34",0805,2,0R,
"R5, R6",0603,2,27R,
"R68, R69, R7, R70, R71, R8",0603,6,1k,
"R72, R73, R74",0603,3,DNP (27),
"T1, T2, T3, T4",B78416A2232A003,4,B78416A2232A003,
U1,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,1,FT231XQ,
U2,LQFP-100_14x14mm_P0.5mm,1,STM32F469VGTx,
"U3, U4, U5, U6",SOIC-8_3.9x4.9mm_P1.27mm,4,TS912ID,
"V_ADJ1, V_ADJ2, V_ADJ3, V_ADJ4",LMZM23600SILT,4,LMZM23600SILR,
Y1,ECS2520MV250BNTR,1,ECS-2520MV-160-CN-TR,
